pixel_id,latitude,longitude,classe_pixel,classe_pixel_significado,categoria_agua,qualidade_pixel,distancia_min_exutorio_m,janela_2km,janela_5km,janela_10km
87001,-15.49075122401866,-47.98923455255101,1,land,terra,0,5187.897437272253,False,False,True
87002,-15.490599573046087,-47.990222547724954,1,land,terra,0,5232.231807943769,False,False,True
87003,-15.489652048261137,-47.99639439781237,2,land_near_water,terra_proxima_agua,3,5548.393130004114,False,False,True
87004,-15.489518351784694,-47.997264940297555,1,land,terra,3,5598.030962292723,False,False,True
87005,-15.490327848258925,-47.991993696840666,1,land,terra,1,5316.203845043275,False,False,True
87006,-15.490279743270525,-47.992306975867166,1,land,terra,2049,5331.647464445667,False,False,True
87007,-15.49041443722366,-47.991429807055404,1,land,terra,2049,5288.844888360013,False,False,True
87008,-15.490464202012848,-47.99110572038172,1,land,terra,2049,5273.379176269538,False,False,True
87009,-15.49051008668019,-47.99080689993884,1,land,terra,2051,5259.288121157151,False,False,True
87010,-15.49054930080807,-47.9905515193675,1,land,terra,2049,5247.374953929266,False,False,True
87011,-15.490334827231566,-47.9919482801339,1,land,terra,2051,5313.978808945109,False,False,True
87012,-15.490263568886096,-47.99241234019229,1,land,terra,2049,5336.8798971688775,False,False,True
87013,-15.487211389860901,-48.01229072287498,1,land,terra,2049,6611.4011349288985,False,False,True
87014,-15.487170712589103,-48.0125554825338,1,land,terra,2049,6631.480038025632,False,False,True
87015,-15.487168721833044,-48.01256846853249,1,land,terra,2049,6632.466126881107,False,False,True
87016,-15.486525596351312,-48.016753637722275,1,land,terra,3,6958.049651406548,False,False,True
87017,-15.483401922638585,-48.03708256886881,1,land,terra,2049,8706.278955221915,False,False,True
87018,-15.483185127315902,-48.0384923190133,1,land,terra,2049,8835.209440840234,False,False,True
87019,-15.483068399663452,-48.03925135055226,1,land,terra,2049,8904.947586144408,False,False,True
87020,-15.483180548984127,-48.038522809420556,1,land,terra,1,8837.998464399685,False,False,True
87021,-15.483081451788617,-48.03916720895677,1,land,terra,1,8897.197838544222,False,False,True
87022,-15.482911609361292,-48.04027158209192,1,land,terra,0,8999.017747071995,False,False,True
87023,-15.482920556183814,-48.040213431734855,1,land,terra,2,8993.64493627622,False,False,True
87024,-15.482880602259204,-48.04047323671597,1,land,terra,0,9017.657846527016,False,False,True
87025,-15.482912650209313,-48.040264882627014,1,land,terra,0,8998.397955294427,False,False,True
87026,-15.482936648146739,-48.04010887400585,1,land,terra,1,8983.987056131826,False,False,True
87027,-15.482972303241059,-48.039877080087706,1,land,terra,1,8962.592226261766,False,False,True
87028,-15.482918929191783,-48.04022417275809,1,land,terra,1,8994.635408071608,False,False,True
87029,-15.482988770826918,-48.03977009502273,1,land,terra,3,8952.723287849976,False,False,True
87030,-15.482962577773923,-48.03994043963894,1,land,terra,1,8968.436915900156,False,False,True
87031,-15.482016801930278,-48.0460913716679,1,land,terra,1,9542.591342644295,False,False,True
87032,-15.482160521670354,-48.045157069938,1,land,terra,1,9454.573423058902,False,False,True
87033,-15.482166084409625,-48.04512091646308,1,land,terra,0,9451.172884291555,False,False,True
87034,-15.482183789658622,-48.04500582386448,1,land,terra,0,9440.350441656314,False,False,True
87035,-15.482145949905144,-48.04525183707028,1,land,terra,0,9463.488355694812,False,False,True
87036,-15.48209961221526,-48.045553095445484,1,land,terra,0,9491.84807589394,False,False,True
87037,-15.482086877694448,-48.045635899703655,1,land,terra,2,9499.647890832099,False,False,True
87038,-15.482134770063231,-48.04532457093234,1,land,terra,0,9470.332209113816,False,False,True
87039,-15.482131743362046,-48.04534426506012,1,land,terra,0,9472.185570651089,False,False,True
87040,-15.482033885376184,-48.04598168788061,1,land,terra,2049,9532.229666561107,False,False,True
87041,-15.482241998255404,-48.04462876318797,1,land,terra,1,9404.909637495475,False,False,True
87042,-15.481540366882665,-48.0491898439471,1,land,terra,3,9836.350709030767,False,False,True
87043,-15.481885510944942,-48.046946298270996,1,land,terra,1,9623.350914916698,False,False,True
87044,-15.482102577729016,-48.04553520753848,1,land,terra,1,9490.148434037172,False,False,True
87045,-15.482115787628944,-48.045449347704505,1,land,terra,1,9482.063139294478,False,False,True
87046,-15.481736220048763,-48.04791689385041,1,land,terra,1,9715.317754768637,False,False,True
87047,-15.481712983801037,-48.04806795999059,1,land,terra,1,9729.656528838907,False,False,True
87048,-15.481674803193858,-48.04831617768781,1,land,terra,2049,9753.231030461315,False,False,True
87049,-15.481523723626575,-48.0492982633848,1,land,terra,1,9846.677907547033,False,False,True
87050,-15.481521197763211,-48.04931471400346,1,land,terra,1,9848.245191473907,False,False,True
87051,-15.481436023995142,-48.04986841272785,1,land,terra,2049,9901.05166339543,False,False,True
87052,-15.500227664433611,-47.92613685192481,1,land,terra,2049,6395.233480645967,False,False,True
87053,-15.500120301338416,-47.92683754220553,1,land,terra,2051,6355.7266238652965,False,False,True
87054,-15.500083183386531,-47.92707978786445,1,land,terra,2051,6342.2236741969455,False,False,True
87055,-15.499636917777085,-47.929992062455256,1,land,terra,2051,6186.364289275147,False,False,True
87056,-15.500209295492603,-47.92625676108378,1,land,terra,1,6388.425247624755,False,False,True
87057,-15.500229812634995,-47.926122865671516,1,land,terra,3,6396.028378734923,False,False,True
87058,-15.500193732787737,-47.92635834250211,1,land,terra,3,6382.672893767682,False,False,True
87059,-15.500161103423427,-47.92657129884037,1,land,terra,2051,6370.659159788332,False,False,True
87060,-15.50006608508616,-47.92719141616743,1,land,terra,2049,6336.028077967164,False,False,True
87061,-15.499830718118087,-47.92872742500958,1,land,terra,2051,6252.552764975895,False,False,True
